9781557047410,1557047413,The Namesake,A Portrait of the Film,Jhumpa Lahiri;Mira Nair,Performing Arts,http://books.google.com/books/content?id=nClcAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Original essays and glorious photography, stunningly designed in this unique moviebook from the director of Monsoon Wedding and Vanity Fair—a Fox Searchlight release. In her essay ""Writing and Film,"" the Pulitzer Prize-winning novelist Jhumpa Lahiri writes about the experience of seeing her novel ""transposed"" from paper to film. ""Its essence remains, but it inhabits a different realm and must, like a transposed piece of music, conform to a different set of rules. . . . To have someone as devoted and as gifted as Mira reinvent my novel . . . has been a humbling and thrilling passage."" Mira Nair's essay, ""Photographs as Inspiration,"" begins with the provocative comment: ""If it weren't for photography, I wouldn't be a filmmaker."" She explains how photographs help her crystallize the visual style of her films and which particular photos influenced her vision for The Namesake. These two essays, written exclusively for this Newmarket Pictorial Moviebook, introduce an amazing panoply of images of people and places shot mainly in New York and Calcutta during the making of the movie, accented by excerpts from Lahiri's bestselling novel. Six Indian and American photographers' works are represented. Brilliantly illuminating the immigrant experience and the tangled ties between generations, The Namesake tells the story of the Ganguli family, whose move from Calcutta to New York evokes a lifelong balancing act to adapt to a new world while remembering the old. The couple's firstborn, Gogol, and sister Sonia grow up amid these divided loyalties, struggling to find their own identity without losing their heritage. Kal Penn (Harold & Kumar Go to White Castle, Superman Returns) stars as Gogol.",2006,4.05,144,621
9781557091031,155709103X,George Washington's Rules of Civility and Decent Behaviour,,George Washington,History,http://books.google.com/books/content?id=2_UIAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Copied out by hand as a young man aspiring to the status of Gentleman, the 110 precepts which make up this work were based on a set of rules composed by French Jesuits in 1595. The first English edition of these rules was available in Francis Hawkins' Youths Behavior, or Decency in Conversation Amongst Men, which appeared in 1640, and it is from this work that George Washington seems to have copied. However much he may have simplified them, these precepts had a strong influence on Washington, who aimed to always live by them. The rules focus on self-respect and respect for others through details of etiquette and offer pointers on such issues as how to dress, walk, eat in public, and address one's superiors.",1989,4.1,30,758
9781557092632,155709263X,The Mystery of the Brass Bound Trunk,,Carolyn Keene,Fiction,http://books.google.com/books/content?id=XHoBAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,A trunk that Nancy receives from her father for a trip to Buenos Aires becomes the center of a mystery.,2001,3.89,228,4125
9781557092649,1557092648,The Mystery of the Moss-Covered Mansion,,Carolyn Keene,Juvenile Fiction,http://books.google.com/books/content?id=dvQLAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,This eighteenth book in the Nancy Drew series was originally published in 1941.,2003,3.88,215,4787
9781557280244,155728024X,The Apple that Astonished Paris,Poems,Billy Collins,American poetry,http://books.google.com/books/content?id=6mwhkMv4K9kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Billy Collins strikes at the deepest concerns of the human heart and mind. His metaphysical wit and cosmic puzzlement, expressed always in a clean, direct, unpretentious idiom, will touch every reader who is fascinated by the play of a truly original imagination and a disarming way of seeing the world.",1988,4.2,61,530
9781557283306,1557283303,Keeping Faith,Memoirs of a President,Jimmy Carter,Biography & Autobiography,http://books.google.com/books/content?id=iVYYdZ6pVjwC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Keeping Faith is Jimmy Carter's account of the satisfaction, frustration, and solitude that attend the man in the Oval Office. Mr. Carter writes candidly about the crises that confronted him during his tenure as President of the United States and Leader of the free world, from 1977 to 1981. ""The President who cared"" details his anguish over the hostage crisis in Iran, his triumph against all odds at Camp David, his secret communications with China's Deng Xiaoping, and his dramatic and revealing encounters with Soviet President Leonid Brezhnev, West German Chancellor Helmut Schmidt, and other world leaders. Mr. Carter also shares glimpses of his private world - his feelings of being an outsider in Washington, his relationship with Rosalynn, his pain about the attacks on his friends and his brother Billy. Captivatingly written, this rich historical document delineates a morally responsible president who has continued to earn respect and admiration as a world statesman and advocate for the poor and repressed of all nations.",1995,3.77,640,231
9781557344038,1557344035,A Guide for Using a Wrinkle in Time in the Classroom,,John Carratello;Patty Carratello,Education,http://books.google.com/books/content?id=JDsr2Oxn-3YC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"Literature units with sample lesson plans, vocabulary lists, quizzes, hands-on projects, cooperative learning activities, cross-curriculum connections, and book report ideas.",1991,3.94,48,17
9781557424297,1557424292,The Picture of Dorian Gray,,Oscar Wilde,Fiction,http://books.google.com/books/content?id=8_d2vgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"A young man of rare beauty, Dorian Gray is the very picture of the ideal British gentleman. When he is drawn into a life of decadence and lustful indulgence, he discovers a painting begins to bear new marks for each of his sins, leaving him as youthful and attractive as ever. And so begins Dorian's descent into a personal hell of lies, murder, and depravity.",2005,4.07,187,329
9781557830418,155783041X,"The Adventures of Baron Munchausen, the Screenplay",,Charles McKeown;Terry Gilliam,Performing Arts,http://books.google.com/books/content?id=6_ln59XY5VYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The complete screenplay and credits with dozens of photos from the 1998 film. ""A carnival! A wonderland! A weekend with nine Friday nights! Terry Gilliam's lavish dreams are beyond those of mere mortals."" - Harlan Ellison",1989,3.48,238,10
9781557831576,1557831572,The Reduced Shakespeare Company's the Complete Works of William Shakespeare (abridged),,Jess Borgeson;Adam Long;Daniel Singer,Drama,http://books.google.com/books/content?id=j9yF5S7lkzMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"(Applause Books). The complete script to the critically acclaimed play. ""Shakespeare as written by Reader's Digest , acted by Monty Python, and performed at the speed of the minute waltz."" L.A. Herald",1994,4.46,137,7970
9781557832450,1557832455,Spring's Awakening,Tragedy of Childhood,Frank Wedekind,Fiction,http://books.google.com/books/content?id=0fuhI9YwsdIC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"(Applause Books). Spring's Awakening is a tragi-comedy of teenage sex. Its fourteen-year-old heroine, Wendla, is killed by abortion pills. The young Moritz, terrorized by the world around him, and especially by his teachers, shoots himself. The ending seems likely to be the suicide of Moritz's friend, Melchior, but in a confrontation with a mysterious stranger (the famous Masked Man) he finally manages to shed his illusions and face the consequences.",1995,3.81,126,3235
9781558321250,155832125X,Paul Kirk's Championship Barbecue Sauces,"175 Make-Your-Own Sauces, Marinades, Dry Rubs, Wet Rubs, Mops and Salsas",Paul Kirk,Cooking,http://books.google.com/books/content?id=5bri6MkeZuYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,The author offers up 175 recipes that impart bold zesty flavor to every cut of meat!,1997,3.9,272,52
9781558321823,1558321829,Smart Love,The Compassionate Alternative to Discipline That Will Make You a Better Parent and Your Child a Better Person,Martha Heineman Pieper;William Joseph Pieper,Family & Relationships,http://books.google.com/books/content?id=9hc5NgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Challenging traditional child-care methods, two professionals offer a revolutionary approach to dealing with the most difficult discipline problems.",2001,3.86,272,98
9781558322455,1558322450,Not Your Mother's Slow Cooker Cookbook,,Beth Hensperger;Julie Kaufmann,Cooking,http://books.google.com/books/content?id=cDNRHs_f5P8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,Not Your Mother's guide to 350 recipes for getting the most out of today's slow cooker.,2004,3.78,520,5651
9781558492769,1558492763,Betty Friedan and the Making of The Feminine Mystique,"The American Left, the Cold War, and Modern Feminism",Daniel Horowitz,Political Science,http://books.google.com/books/content?id=szJCHwWNwp8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,This biography of Betty Friedan traces the development of her feminist outlook from her childhood in Illinois to her marriage. Horowitz offers a reading of The Feminine Mystique and argues that the roots of Friedan's feminism run deeper than she has led us to believe.,2000,3.59,384,58
9781558749603,1558749608,The Complete ACOA Sourcebook,"Adult Children of Alcoholics at Home, at Work and in Love",Janet G. Woititz,Self-Help,http://books.google.com/books/content?id=7o-jAgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,"A one-volume collection of Dr. Woititz's three previous works: 'Adult Children of Alcoholics', 'Struggle for Intimacy', and 'The Self-Sabotage Syndrome'.",2002,4.06,500,137
9781559210409,1559210400,Three Daughters of Madame Liang,,Pearl Sydenstricker Buck,Fiction,http://books.google.com/books/content?id=Az1YPgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Restaurant owner Madam Liang, having sent her three daughters to America to be educated and to escape the coming Communist revolution in China, refuses herself to flee to safety even though her decision could end her life.",1969,3.88,315,1233
9781559210867,1559210869,"East Wind, West Wind",,Pearl Sydenstricker Buck,Fiction,http://books.google.com/books/content?id=VPkAjwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"In her acceptance speech upon receiving the Nobel Prize for Literature, Pearl Buck said, ""The mind of my own country and of China, my foster country, are alike in many ways, but above all, in our common love of freedom."" ""East Wind: West Wind"" embodies this love of, and struggle for, freedom.",1930,4,288,3102
9781559343565,1559343567,A guided tour of five works by Plato,"with complete translations of Euthyphro, Apology, Crito, Phaedo (death scene), and ""Allegory of the Cave""",Christopher Biffle;Plato,Philosophy,http://books.google.com/books/content?id=dNuMwZeVhAYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,,1995,4.33,125,9
9781559362108,1559362103,A Tempest,"Based on Shakespeare's The Tempest, Adaptation for a Black Theatre",Aimé Césaire;Richard Miller,Drama,http://books.google.com/books/content?id=80GjQAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,2002,3.55,69,1309
9781559362153,1559362154,Dogeaters,A Play about the Philippines,Jessica Tarahata Hagedorn,Drama,http://books.google.com/books/content?id=0xZaAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,Hagedorn's remarkable play based on her best-selling novel.,2003,3.58,96,89
9781559501774,1559501774,The Birth of Heroin and the Demonization of the Dope Fiend,,Th Metzger,Social Science,http://books.google.com/books/content?id=l9TxAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,,1998,3.88,222,17
